#name;МФТИ;Федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет»;;;
1;01.03.02;Прикладная математика и информатика;MIR;ФПМИ;
2;01.03.02;Экономика и ERP системы;MIR;ФПМИ;
3;03.03.01;Радиотехника и компьютерные технологии;MFR;ФРКТ;
4;03.03.01;Общая и прикладная физика;MFR;ЛФИ;
5;03.03.01;Авиационные технологии и автономные транспортные системы;MFIR;ФАКТ;
6;03.03.01;Геокосмические науки и технологии;MFIR;ФАКТ;
7;03.03.01;Физика перспективных технологий;FCMR;ФЭФМ;
8;03.03.01;Биофизика и биоинформатика;BCFIMR;ФБМФ;
9;03.03.01;Природоподобные, плазменные и ядерные технологии;MFCIR;КНТ;
10;09.03.01;Программная инженерия и компьютерные технологии;MFIR;ФАКТ;
11;09.03.01;Компьютерные технологии и вычислительная техника;MFIR;ФРКТ;
12;09.03.01;Системное программирование и прикладная математика;MIFR;ФПМИ;
13;09.03.01;Математическое моделирование и компьютерные технологии;MFIR;ФПМИ;
14;09.03.04;Программная инженерия;IMR;ВШПИ;
15;11.03.04;Электроника и наноэлектроника;FMR;ФЭФМ;
16;16.03.01;Техническая физика;MFR;ФАКТ;
17;19.03.01;Биотехнология;BCFIMR;ФБМФ;
#lgots;11;;;;
-1;Олимпиада школьников «Покори Воробьевы горы!»;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников «Робофест»;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников «Физтех»;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников «Шаг в будущее»;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников Санкт-Петербургского государственного университета;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Отраслевая физико-математическая олимпиада школьников «Росатом»;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Турнир имени М.В. Ломоносова;физика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Московская олимпиада школьников;астрономия;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Санкт-Петербургская астрономическая олимпиада;астрономия;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;автономные транспортные системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;анализ космических снимков и геопространственных данных;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;аэрокосмические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;беспилотные авиационные системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;водные робототехнические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;инженерные биологические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;интеллектуальные энергетические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;летающая робототехника;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;наносистемы и наноинженерия;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;нейротехнологии и когнитивные науки;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;новые материалы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;передовые производственные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;спутниковые системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;фотоника;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;ядерные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников «Физтех»;инженерное дело;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Олимпиада школьников «Шаг в будущее»;инженерное дело;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
-1;Всероссийская олимпиада школьников «Высшая проба»;инженерные науки;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;F
