#name;МГУ им. Н.П. Огарёва;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»;;;
0;*;новые материалы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;передовые производственные технологии;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;ядерные технологии;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;автоматизация бизнес-процессов;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;автономные транспортные системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;анализ космических снимков и геопространственных данных;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;аэрокосмические системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;большие данные и машинное обучение;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;беспилотные авиационные системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;водные робототехнические системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;инженерные биологические системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;информационная безопасность;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;интеллектуальные робототехнические системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;искусственный интеллект;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;интеллектуальные энергетические системы;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;наносистемы и наноинженерия;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;разработка приложений виртуальной и дополненной реальности;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;технологии беспроводной связи;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;умный город;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;программная инженерия финансовых технологий;P3;56 43 57 7 8 28 58 30 22 19 63 64 45 46 47 33;M
0;*;гуманитарные и социальные науки;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;социология;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;обществознание;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;философия;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;финансовая грамотность;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;основы бизнеса;P3;35 36 48 49 37 23 24 38 53 60 26;O
0;*;графика;P3;35 36 48 49 37 23 24 38 53 60 26;O
