#name;НИУ «МЭИ»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский университет «МЭИ»;;;
0;Всероссийская олимпиада школьников по ОБЖ;ОБЖ;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по технологии;техника, технология и техническое творчество;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по технологии;культура дома, дизайн и технология;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по технологии;робототехника;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по технологии;информационная безопасность;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по физике;физика;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по химии;химия;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по экологии;экология;P0;+12.03.04;*
0;Всероссийская олимпиада школьников по информатике;информатика;P0;+38.03.01 +38.03.02 +38.03.05;*
0;Всероссийская олимпиада школьников по математике;математика;P0;+38.03.01 +38.03.02 +38.03.05;*
0;Всероссийская олимпиада школьников по обществознанию;обществознание;P0;+38.03.01 +38.03.02 +38.03.05;*
0;Всероссийская олимпиада школьников по экологии;экология;P0;+38.03.01 +38.03.02 +38.03.05;*
0;Всероссийская олимпиада школьников по экономике;экономика;P0;+38.03.01 +38.03.02 +38.03.05;*
0;Всероссийская олимпиада школьников по английскому языку;английский язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по испанскому языку;испанский язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по итальянскому языку;итальянский язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по китайскому языку;китайский язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по немецкому языку;немецкий язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по франзускому языку;французский язык;P0;+42.03.01 +45.03.01;*
0;Всероссийская олимпиада школьников по истории;история;P0;+54.03.01;*
0;Всероссийская олимпиада школьников по литературе;литература;P0;+54.03.01;*
0;Всероссийская олимпиада школьников по искусству;исскуство;P0;+54.03.01;*
0;Всероссийская олимпиада школьников по русскому языку;русский язык;P0;+54.03.01;*
0;*;автоматизация бизнес-процессов;P3;+01.03.02;MFI
0;*;автономные транспортные системы;P3;+01.03.02;MFI
0;*;анализ данных;P3;+01.03.02;MFI
0;*;анализ космических снимков и геопространственных данных;P3;+01.03.02;MFI
0;*;астрономия;P3;+01.03.02;MFI
0;*;астрономия и науки о земле;P3;+01.03.02;MFI
0;*;аэрокосмические системы;P3;+01.03.02;MFI
0;*;беспилотные авиационные системы;P3;+01.03.02;MFI
0;*;большие данные и машинное обучение;P3;+01.03.02;MFI
0;*;вероятность и статистика;P3;+01.03.02;MFI
0;*;водные робототехнические системы;P3;+01.03.02;MFI
0;*;естественные науки;P3;+01.03.02;MFI
0;*;инженерное дело;P3;+01.03.02;MFI
0;*;инженерные биологические системы;P3;+01.03.02;MFI
0;*;инженерные биологические системы: агробиотехнологии;P3;+01.03.02;MFI
0;*;инженерные науки;P3;+01.03.02;MFI
0;*;инженерные системы;P3;+01.03.02;MFI
0;*;интеллектуальные робототехнические системы;P3;+01.03.02;MFI
0;*;интеллектуальные энергетические системы;P3;+01.03.02;MFI
0;*;информатика;P3;+01.03.02;MFI
0;*;информатика и икт;P3;+01.03.02;MFI
0;*;информационная безопасность;P3;+01.03.02;MFI
0;*;информационные и коммуникационные технологии;P3;+01.03.02;MFI
0;*;искусственный интеллект;P3;+01.03.02;MFI
0;*;комплекс предметов (физика, информатика, математика);P3;+01.03.02;MFI
0;*;композитные технологии;P3;+01.03.02;MFI
0;*;компьютерная безопасность;P3;+01.03.02;MFI
0;*;компьютерное моделирование и графика;P3;+01.03.02;MFI
0;*;космонавтика;P3;+01.03.02;MFI
0;*;летающая робототехника;P3;+01.03.02;MFI
0;*;математика;P3;+01.03.02;MFI
0;*;математическое моделирование и искусственный интеллект;P3;+01.03.02;MFI
0;*;механика и математическое моделирование;P3;+01.03.02;MFI
0;*;наносистемы и наноинженерия;P3;+01.03.02;MFI
0;*;нанотехнологии;P3;+01.03.02;MFI
0;*;научно-техническая;P3;+01.03.02;MFI
0;*;нейротехнологии и когнитивные науки;P3;+01.03.02;MFI
0;*;новые материалы;P3;+01.03.02;MFI
0;*;передовые и производственные технологии;P3;+01.03.02;MFI
0;*;предпрофессиональная;P3;+01.03.02;MFI
0;*;предпрофессиональная по инженерно-конструкторскому направлению;P3;+01.03.02;MFI
0;*;предпрофессиональная по научно-технологическому направлению;P3;+01.03.02;MFI
0;*;предпрофессиональная;P3;+01.03.02;MFI
0;*;инженерно-конструкторский профиль;P3;+01.03.02;MFI
0;*;программирование;P3;+01.03.02;MFI
0;*;программная инженерия финансовых технологий;P3;+01.03.02;MFI
0;*;разработка компьютерных игр;P3;+01.03.02;MFI
0;*;разработка приложений виртуальной и дополненной реальности;P3;+01.03.02;MFI
0;*;робототехника;P3;+01.03.02;MFI
0;*;системы связи и дистанционного зондирования Земли;P3;+01.03.02;MFI
0;*;спутниковые системы;P3;+01.03.02;MFI
0;*;техника и технологии;P3;+01.03.02;MFI
0;*;технологии беспроводной связи;P3;+01.03.02;MFI
0;*;технологии виртуальной реальности;P3;+01.03.02;MFI
0;*;технологии дополненной реальности;P3;+01.03.02;MFI
0;*;технологическое предпринимательство;P3;+01.03.02;MFI
0;*;умный город;P3;+01.03.02;MFI
0;*;физика;P3;+01.03.02;MFI
0;*;фотоника;P3;+01.03.02;MFI
0;*;экология;P3;+01.03.02;MFI
0;*;электроника и вычислительная техника;P3;+01.03.02;MFI
0;*;анализ данных;P3;+08.03.01;MFI
0;*;анализ космических снимков и геопространственных данных;P3;+08.03.01;MFI
0;*;аэрокосмические системы;P3;+08.03.01;MFI
0;*;беспилотные авиационные системы;P3;+08.03.01;MFI
0;*;большие данные и машинное обучение;P3;+08.03.01;MFI
0;*;вероятность и статистика;P3;+08.03.01;MFI
0;*;водные робототехнические системы;P3;+08.03.01;MFI
0;*;естественные науки;P3;+08.03.01;MFI
0;*;инженерное дело;P3;+08.03.01;MFI
0;*;инженерные биологические системы;P3;+08.03.01;MFI
0;*;инженерные биологические системы: агробиотехнологии;P3;+08.03.01;MFI
0;*;инженерные науки;P3;+08.03.01;MFI
0;*;инженерные системы;P3;+08.03.01;MFI
0;*;интеллектуальные робототехнические системы;P3;+08.03.01;MFI
0;*;интеллектуальные энергетические системы;P3;+08.03.01;MFI
0;*;информатика;P3;+08.03.01;MFI
0;*;информатика и икт;P3;+08.03.01;MFI
0;*;информационная безопасность;P3;+08.03.01;MFI
0;*;информационные и коммуникационные технологии;P3;+08.03.01;MFI
0;*;искусственный интеллект;P3;+08.03.01;MFI
0;*;комплекс предметов (физика, информатика, математика);P3;+08.03.01;MFI
0;*;композитные технологии;P3;+08.03.01;MFI
0;*;компьютерное моделирование и графика;P3;+08.03.01;MFI
0;*;космонавтика;P3;+08.03.01;MFI
0;*;летающая робототехника;P3;+08.03.01;MFI
0;*;математика;P3;+08.03.01;MFI
0;*;математическое моделирование и искусственный интеллект;P3;+08.03.01;MFI
0;*;механика и математическое моделирование;P3;+08.03.01;MFI
0;*;наносистемы и наноинженерия;P3;+08.03.01;MFI
0;*;нанотехнологии;P3;+08.03.01;MFI
0;*;научно-техническая;P3;+08.03.01;MFI
0;*;новые материалы;P3;+08.03.01;MFI
0;*;передовые и производственные технологии;P3;+08.03.01;MFI
0;*;предпрофессиональная;P3;+08.03.01;MFI
0;*;предпрофессиональная по инженерно-конструкторскому направлению;P3;+08.03.01;MFI
0;*;предпрофессиональная по научно-технологическому направлению;P3;+08.03.01;MFI
0;*;предпрофессиональная;P3;+08.03.01;MFI
