#info;ЛЭТИ;Федеральное государственное автономное образовательное учреждение высшего образования Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина) ;;9;9
1;01.03.02;Прикладная математика и информатика;MRFI;;
0;*;инженерные науки;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MFI
0;*;инженерные системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MFI
0;*;инженерно-конструкторский;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;интеллектуальные робототехнические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;интеллектуальные энергетические системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;информационные и коммуникационные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;информационная безопасность;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;искусственный интеллект;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;композитные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;F
0;*;компьютерная безопасность;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;компьютерное моделирование и графика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;космонавтика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MFI
0;*;летающая робототехника;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;IF
0;*;математическое моделирование и искусственный интеллект;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;механика и математическое моделирование;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MF
0;*;наносистемы и наноинженерия;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;F
0;*;нанотехнологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;FM
0;*;научно-технический;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MF
0;*;нейротехнологии и когнитивные науки;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
