Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;иностранный язык;2
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;физика;3
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;химия;2
Межрегиональный экономический фестиваль школьников «Сибириада. Шаг в мечту»;экономика;2
Многопредметная олимпиада «Юные таланты»;география;1
Многопредметная олимпиада «Юные таланты»;геология;3
Многопредметная олимпиада «Юные таланты»;химия;1
Многопрофильная инженерная олимпиада «Звезда»;естественные науки;3
Многопрофильная инженерная олимпиада «Звезда»;техника и технологии;2
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;история;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;математика;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;обществознание;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;политология;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;социология;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;русский язык;3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»;физика;3
Московская олимпиада школьников;астрономия;1
Московская олимпиада школьников;генетика;3
Московская олимпиада школьников;география;1
Московская олимпиада школьников;информатика;1
Московская олимпиада школьников;история искусств;1
Московская олимпиада школьников;изобразительное искусство;2
Московская олимпиада школьников;история;2
Московская олимпиада школьников;математика;1
Московская олимпиада школьников;робототехника;3
Московская олимпиада школьников;обществознание;2
Московская олимпиада школьников;право;2
Московская олимпиада школьников;лингвистика;1
Московская олимпиада школьников;филология;2
Московская олимпиада школьников;физика;1
Московская олимпиада школьников;предпрофессиональная;3
Московская олимпиада школьников;химия;1
Московская олимпиада школьников;экономика;2
Московская олимпиада школьников;финансовая грамотность;3
Общероссийская олимпиада школьников «Основы православной культуры»;основы православной культуры;2
Объединённая межвузовская математическая олимпиада школьников;математика;2
Объединённая международная математическая олимпиада «Формула Единства» / «Третье тысячелетие»;математика;2
Объединённая международная математическая олимпиада «Формула Единства» / «Третье тысячелетие»;физика;3
Океан знаний;история;3
Океан знаний;обществознание;3
Океан знаний;русский язык;3
Олимпиада Кружкового движения Национальной технологической инициативы;программная инженерия финансовых технологий;3
Олимпиада Кружкового движения Национальной технологической инициативы;умный город;3
Олимпиада Кружкового движения Национальной технологической инициативы;большие данные и машинное обучение;2
Олимпиада Кружкового движения Национальной технологической инициативы;аэрокосмические системы;3
Олимпиада Кружкового движения Национальной технологической инициативы;интеллектуальные робототехнические системы;1
Олимпиада Кружкового движения Национальной технологической инициативы;беспилотные авиационные системы;2
Олимпиада Кружкового движения Национальной технологической инициативы;технологии беспроводной связи;2
Олимпиада Кружкового движения Национальной технологической инициативы;интеллектуальные энергетические системы;3
Олимпиада Кружкового движения Национальной технологической инициативы;искусственный интеллект;3
Олимпиада Кружкового движения Национальной технологической инициативы;информационная безопасность;3
Олимпиада Кружкового движения Национальной технологической инициативы;автоматизация бизнес-процессов;2
Олимпиада Кружкового движения Национальной технологической инициативы;композитные технологии;3
Олимпиада Кружкового движения Национальной технологической инициативы;инженерные биологические системы: агробиотехнологии;3
Олимпиада Кружкового движения Национальной технологической инициативы;анализ космических снимков и геопространственных данных;3
Олимпиада Кружкового движения Национальной технологической инициативы;водные робототехнические системы;2
Олимпиада Кружкового движения Национальной технологической инициативы;нейротехнологии и когнитивные науки;2
Олимпиада Кружкового движения Национальной технологической инициативы;передовые производственные технологии;2
Олимпиада Кружкового движения Национальной технологической инициативы;спутниковые системы;3
Олимпиада Кружкового движения Национальной технологической инициативы;наносистемы и наноинженерия;2
Олимпиада Кружкового движения Национальной технологической инициативы;автономные транспортные системы;3
Олимпиада Кружкового движения Национальной технологической инициативы;летающая робототехника;3
Олимпиада Кружкового движения Национальной технологической инициативы;геномное редактирование;3
Олимпиада Курчатов;математика;2
Олимпиада Курчатов;физика;2
Олимпиада МГИМО МИД России для школьников;гуманитарные и социальные науки;2
Олимпиада по комплексу предметов «Культура и искусство»;технический рисунок и декоративная композиция;1
Олимпиада по комплексу предметов «Культура и искусство»;академический рисунок, живопись, композиция, история искусства и культуры;1
Олимпиада РГГУ для школьников;иностранный язык;2
Олимпиада РГГУ для школьников;история;2
Олимпиада РГГУ для школьников;литература;2
Олимпиада РГГУ для школьников;русский язык;2
Олимпиада Университета Иннополис «Innopolis Open»;информатика;2
Олимпиада Университета Иннополис «Innopolis Open»;математика;3
Олимпиада школьников «Гранит науки»;информатика;3
Олимпиада школьников «Гранит науки»;естественные науки;3
Олимпиада школьников «Гранит науки»;химия;2
Олимпиада школьников «Ломоносов»;биология;1
Олимпиада школьников «Ломоносов»;география;1
Олимпиада школьников «Ломоносов»;геология;1
Олимпиада школьников «Ломоносов»;журналистика;1
Олимпиада школьников «Ломоносов»;иностранный язык;1
Олимпиада школьников «Ломоносов»;информатика;1
Олимпиада школьников «Ломоносов»;политология;2
Олимпиада школьников «Ломоносов»;международные отношения и глобалистика;1
Олимпиада школьников «Ломоносов»;история;1
Олимпиада школьников «Ломоносов»;история российской государственности;1
Олимпиада школьников «Ломоносов»;литература;1
Олимпиада школьников «Ломоносов»;математика;1
Олимпиада школьников «Ломоносов»;философия;1
Олимпиада школьников «Ломоносов»;обществознание;1
Олимпиада школьников «Ломоносов»;экология;2
Олимпиада школьников «Ломоносов»;психология;1
Олимпиада школьников «Ломоносов»;русский язык;1
Олимпиада школьников «Ломоносов»;физика;2
Олимпиада школьников «Ломоносов»;инженерные науки;3
Олимпиада школьников «Ломоносов»;космонавтика;2
Олимпиада школьников «Ломоносов»;механика и математическое моделирование;3
Олимпиада школьников «Ломоносов»;робототехника;3
Олимпиада школьников «Ломоносов»;химия;1
Олимпиада школьников «Ломоносов»;право;1
Олимпиада школьников «Надежда энергетики»;информатика;3
Олимпиада школьников «Надежда энергетики»;физика;3
Олимпиада школьников «Надежда энергетики»;комплекс предметов (физика, информатика, математика);3
Олимпиада школьников «Покори Воробьёвы горы!»;биология;1
Олимпиада школьников «Покори Воробьёвы горы!»;география;2
Олимпиада школьников «Покори Воробьёвы горы!»;журналистика;1
Олимпиада школьников «Покори Воробьёвы горы!»;иностранный язык;1
Олимпиада школьников «Покори Воробьёвы горы!»;история;2
Олимпиада школьников «Покори Воробьёвы горы!»;литература;1
Олимпиада школьников «Покори Воробьёвы горы!»;математика;1
Олимпиада школьников «Покори Воробьёвы горы!»;обществознание;1
Олимпиада школьников «Покори Воробьёвы горы!»;физика;1
Олимпиада школьников «Робофест»;физика;2
Олимпиада школьников «Физтех»;биология;3
Олимпиада школьников «Физтех»;математика;2
Олимпиада школьников «Физтех»;физика;1
Олимпиада школьников «Шаг в будущее»;программирование;2
Олимпиада школьников «Шаг в будущее»;математика;3
Олимпиада школьников «Шаг в будущее»;инженерное дело;2
Олимпиада школьников «Шаг в будущее»;компьютерное моделирование и графика;3
Олимпиада школьников «Шаг в будущее»;физика;2
Олимпиада школьников по информатике и программированию;информатика;1
Олимпиада школьников по программированию «ТехноКубок»;информатика;1
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;иностранный язык;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;журналистика;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;история;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;иностранный язык;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;обществознание;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;политология;2
Олимпиада Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;экономика;3
Олимпиада школьников Санкт-Петербургского государственного университета;биология;1
Олимпиада школьников Санкт-Петербургского государственного университета;география;1
Олимпиада школьников Санкт-Петербургского государственного университета;журналистика;1
Олимпиада школьников Санкт-Петербургского государственного университета;китайский язык;2
Олимпиада школьников Санкт-Петербургского государственного университета;иностранный язык;1
Олимпиада школьников Санкт-Петербургского государственного университета;филология;1
Олимпиада школьников Санкт-Петербургского государственного университета;информатика;1
Олимпиада школьников Санкт-Петербургского государственного университета;история;1
Олимпиада школьников Санкт-Петербургского государственного университета;медицина;1
Олимпиада школьников Санкт-Петербургского государственного университета;математика;1
Олимпиада школьников Санкт-Петербургского государственного университета;обществознание;1
Олимпиада школьников Санкт-Петербургского государственного университета;социология;1
Олимпиада школьников Санкт-Петербургского государственного университета;право;1
Олимпиада школьников Санкт-Петербургского государственного университета;инженерные системы;3
Олимпиада школьников Санкт-Петербургского государственного университета;физика;2
Олимпиада школьников Санкт-Петербургского государственного университета;химия;1
Олимпиада школьников Санкт-Петербургского государственного университета;экономика;2
Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» «В мир права»;история;3
Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» «В мир права»;право;3
Олимпиада Юношеской математической школы;математика;2
Открытая межвузовская олимпиада школьников Сибирского Федерального округа «Будущее Сибири»;физика;3
Открытая межвузовская олимпиада школьников Сибирского Федерального округа «Будущее Сибири»;химия;2
Открытая олимпиада Северо-Кавказского федерального университета среди учащихся образовательных организаций «45 параллель»;география;2
Открытая олимпиада школьников;информатика;1
Открытая олимпиада школьников;математика;3
Открытая олимпиада школьников по программированию;информатика;1
Открытая олимпиада школьников по программированию «Когнитивные технологии»;информатика и икт;2
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);география;3
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);история;2
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);литература;2
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);математика;3
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);русский язык;3
Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО);физика;3
Открытая химическая олимпиада;химия;2
Отраслевая олимпиада школьников «Газпром»;информационные и коммуникационные технологии;3
Отраслевая олимпиада школьников «Газпром»;физика;3
Отраслевая олимпиада школьников «Газпром»;химия;3
Отраслевая физико-математическая олимпиада школьников «Росатом»;математика;2
Отраслевая физико-математическая олимпиада школьников «Росатом»;физика;1
Плехановская олимпиада школьников;иностранный язык;3
Плехановская олимпиада школьников;экономика;3
Плехановская олимпиада школьников;финансовая грамотность;3
Плехановская олимпиада школьников;русский язык;2
Региональный конкурс школьников Челябинского университетского образовательного округа;иностранный язык;3
Санкт-Петербургская олимпиада школьников;астрономия;1
Санкт-Петербургская олимпиада школьников;математика;1
Санкт-Петербургская олимпиада школьников;химия;1
Северо-Восточная олимпиада школьников;филология;3
Сибирская межрегиональная олимпиада школьников «Архитектурно-дизайнерское творчество»;архитектура, изобразительные и прикладные виды искусств;2
Строгановская олимпиада на базе МГХПА им. С.Г. Строганова ;рисунок, живопись, скульптура, дизайн;1
Телевизионная гуманитарная олимпиада школьников «Умницы и умники»;гуманитарные и социальные науки;1
Турнир городов;математика;1
Турнир имени М.В. Ломоносова;астрономия и науки о земле;3
Турнир имени М.В. Ломоносова;биология;2
Турнир имени М.В. Ломоносова;история;2
Турнир имени М.В. Ломоносова;литература;2
Турнир имени М.В. Ломоносова;математика;2
Турнир имени М.В. Ломоносова;лингвистика;2
Турнир имени М.В. Ломоносова;физика;2
Турнир имени М.В. Ломоносова;химия;3
Университетская олимпиада школьников «Бельчонок»;информатика;3
Университетская олимпиада школьников «Бельчонок»;математика;3
Университетская олимпиада школьников «Бельчонок»;химия;3
Учитель школы будущего;иностранный язык;3
Филологическая олимпиада для школьников 5-11 классов «Юный словесник»;филология;2
Межрегиональная открытая олимпиада по музыкально-теоретическим дисциплинам для учащихся детских музыкальных школ и детских школ искусств;теория и история музыки;3
